repo,stars_latest,stars_30m_ago,stars_24h_ago,growth_30m,growth_24h,window_30m_available,window_24h_available,snapshot_count,note,collected_at
osaurus-ai/osaurus,5215,5215,5215,0,0,True,True,93,已按历史快照计算,2026-05-11T18:12:07.408190+00:00
floci-io/floci,5131,5131,5131,0,0,True,False,48,缺少 24 小时前快照,2026-05-11T18:12:07.417240+00:00
metalbear-co/mirrord,5059,5059,5059,0,0,False,False,1,只有一次采集快照，无法计算真实增长,2026-05-11T18:12:07.427233+00:00
sacridini/Awesome-Geospatial,5001,5001,5001,0,0,True,True,102,已按历史快照计算,2026-05-11T18:12:07.406187+00:00
Mai-with-u/MaiBot,4877,4877,4877,0,0,True,True,78,已按历史快照计算,2026-05-11T18:12:07.411216+00:00
clidey/whodb,4814,4814,4814,0,0,True,True,70,已按历史快照计算,2026-05-11T18:12:07.413233+00:00
Tracer-Cloud/opensre,4788,4788,4788,0,0,True,False,37,缺少 24 小时前快照,2026-05-11T18:12:07.419234+00:00
pytorch/executorch,4595,4595,4595,0,0,False,False,1,只有一次采集快照，无法计算真实增长,2026-05-11T18:12:07.429241+00:00
EasyCorp/EasyAdminBundle,4277,4277,4277,0,0,False,False,1,只有一次采集快照，无法计算真实增长,2026-05-11T18:12:07.428233+00:00
SwanHubX/SwanLab,3918,3918,3918,0,0,True,True,103,已按历史快照计算,2026-05-11T18:12:07.406187+00:00
IBM/mcp-context-forge,3677,3677,3677,0,0,True,False,46,缺少 24 小时前快照,2026-05-11T18:12:07.418238+00:00
web-infra-dev/rsbuild,3298,3298,3298,0,0,True,False,8,缺少 24 小时前快照,2026-05-11T18:12:07.425241+00:00
metorial/metorial,3268,3268,3268,0,0,True,True,87,已按历史快照计算,2026-05-11T18:12:07.409214+00:00
langwatch/langwatch,3248,3248,3248,0,0,True,False,31,缺少 24 小时前快照,2026-05-11T18:12:07.421234+00:00
neomjs/neo,3184,3184,3184,0,0,True,False,12,缺少 24 小时前快照,2026-05-11T18:12:07.424233+00:00
TableProApp/TablePro,3164,3164,3164,0,0,True,True,63,已按历史快照计算,2026-05-11T18:12:07.414232+00:00
hosseinmoein/DataFrame,2953,2953,2953,0,0,True,True,106,已按历史快照计算,2026-05-11T18:12:07.405187+00:00
av/harbor,2920,2920,2920,0,0,True,True,94,已按历史快照计算,2026-05-11T18:12:07.408190+00:00
patrick-kidger/equinox,2877,2877,2877,0,0,True,True,104,已按历史快照计算,2026-05-11T18:12:07.406187+00:00
ZSeven-W/openpencil,2576,2576,2576,0,0,True,True,85,已按历史快照计算,2026-05-11T18:12:07.410224+00:00
superplanehq/superplane,2417,2417,2417,0,0,True,False,43,缺少 24 小时前快照,2026-05-11T18:12:07.418238+00:00
schultek/jaspr,2285,2285,2285,0,0,True,False,18,缺少 24 小时前快照,2026-05-11T18:12:07.423233+00:00
kubenav/kubenav,2269,2269,2269,0,0,True,False,49,缺少 24 小时前快照,2026-05-11T18:12:07.417240+00:00
apioo/fusio,2085,2085,2085,0,0,False,False,1,只有一次采集快照，无法计算真实增长,2026-05-11T18:12:07.427233+00:00
openhab/openhab-addons,2051,2051,2051,0,0,True,True,114,已按历史快照计算,2026-05-11T18:12:07.404186+00:00
