repo,login,country,city,lat,lon,contributions
jax-ml/jax,j-towns,United Kingdom,London,51.5072,-0.1276,73
apache/spark,zhengruifeng,China,Beijing,39.9042,116.4074,1810
apache/spark,mateiz,United States,San Francisco,37.7749,-122.4194,1588
apache/spark,rxin,United States,San Francisco,37.7749,-122.4194,1482
apache/spark,cloud-fan,China,Beijing,39.9042,116.4074,1335
apache/spark,yaooqinn,China,Beijing,39.9042,116.4074,840
apache/spark,panbingkun,China,Beijing,39.9042,116.4074,719
apache/spark,zsxwing,United States,San Francisco,37.7749,-122.4194,531
apache/spark,sarutak,Japan,Tokyo,35.6762,139.6503,524
apache/spark,wangyum,China,Shanghai,31.2304,121.4737,521
apache/spark,beliefer,China,Beijing,39.9042,116.4074,477
apache/spark,gatorsmile,United States,San Francisco,37.7749,-122.4194,442
apache/spark,liancheng,United States,San Francisco,37.7749,-122.4194,377
apache/spark,hvanhovell,Netherlands,Amsterdam,52.3676,4.9041,291
apache/spark,yanboliang,United States,San Francisco,37.7749,-122.4194,290
apache/spark,maropu,Japan,Tokyo,35.6762,139.6503,273
apache/spark,ulysses-you,China,Beijing,39.9042,116.4074,227
apache/spark,Ngone51,China,Beijing,39.9042,116.4074,217
mlflow/mlflow,harupy,Japan,Tokyo,35.6762,139.6503,2675
mlflow/mlflow,B-Step62,Japan,Tokyo,35.6762,139.6503,733
mlflow/mlflow,TomeHirata,Japan,Tokyo,35.6762,139.6503,428
mlflow/mlflow,prithvikannan,United States,San Francisco,37.7749,-122.4194,107
mlflow/mlflow,apurva-koti,United States,San Francisco,37.7749,-122.4194,61
mlflow/mlflow,andrewmchen,United States,San Francisco,37.7749,-122.4194,44
mlflow/mlflow,ankit-db,United States,San Francisco,37.7749,-122.4194,38
mlflow/mlflow,mateiz,United States,San Francisco,37.7749,-122.4194,37
mlflow/mlflow,michael-berk,United States,New York,40.7128,-74.006,31
keras-team/keras,farizrahman4u,India,Bangalore,12.9716,77.5946,209
keras-team/keras,mattdangerw,United States,San Francisco,37.7749,-122.4194,207
keras-team/keras,gabrieldemarmiesse,France,Paris,48.8566,2.3522,127
keras-team/keras,sampathweb,United States,San Francisco,37.7749,-122.4194,115
keras-team/keras,nkovela1,United States,San Francisco,37.7749,-122.4194,114
keras-team/keras,goyaladitya05,India,Bangalore,12.9716,77.5946,91
keras-team/keras,Frightera,United Kingdom,London,51.5072,-0.1276,81
keras-team/keras,phreeza,Germany,Berlin,52.52,13.405,62
keras-team/keras,sachinprasadhs,United States,San Francisco,37.7749,-122.4194,54
keras-team/keras,wxs,Canada,Toronto,43.6532,-79.3832,53
keras-team/keras,soumik12345,India,Bangalore,12.9716,77.5946,42
keras-team/keras,old-school-kid,India,Bangalore,12.9716,77.5946,38
keras-team/keras,nzw0301,Japan,Tokyo,35.6762,139.6503,35
keras-team/keras,awsaf49,United States,San Francisco,37.7749,-122.4194,32
openai/openai-python,hallacy,United States,San Francisco,37.7749,-122.4194,29
openai/openai-python,kristapratico,United States,San Francisco,37.7749,-122.4194,9
openai/openai-python,ddeville,United States,San Francisco,37.7749,-122.4194,7
openai/openai-python,jhallard,United States,San Francisco,37.7749,-122.4194,5
openai/openai-python,schnerd,United States,San Francisco,37.7749,-122.4194,4
openai/openai-python,gdb,United States,San Francisco,37.7749,-122.4194,3
openai/openai-python,harupy,Japan,Tokyo,35.6762,139.6503,3
openai/openai-python,nfcampos,United Kingdom,London,51.5072,-0.1276,2
openai/openai-python,Someet-Git,India,Bangalore,12.9716,77.5946,1
openai/openai-python,Showmick119,United States,San Francisco,37.7749,-122.4194,1
openai/openai-python,shapor,United States,San Francisco,37.7749,-122.4194,1
microsoft/LightGBM,chivee,China,Beijing,39.9042,116.4074,59
microsoft/LightGBM,henry0312,Japan,Tokyo,35.6762,139.6503,47
microsoft/LightGBM,btrotta,Australia,Sydney,-33.8688,151.2093,25
microsoft/LightGBM,xuehui1991,China,Beijing,39.9042,116.4074,16
