repo,login,country,city,lat,lon,contributions,raw_location
langchain-ai/langchain,rlancemartin,,,,,128,
langchain-ai/langchain,dev2049,,,,,124,
langchain-ai/langchain,tomasonjo,,,,,99,
langchain-ai/langchain,keenborder786,,,,,97,
langchain-ai/langchain,olgavrou,,,,,89,
langchain-ai/langchain,obi1kenobi,,,,,82,
langchain-ai/langchain,MichaelLi65535,,,,,81,
langchain-ai/langchain,eltociear,Japan,Tokyo,35.6762,139.6503,67,"Tokyo, Japan"
langchain-ai/langchain,isahers1,,,,,54,
langchain-ai/langchain,agola11,United States,San Francisco,37.7749,-122.4194,50,"San Francisco, CA"
langchain-ai/langchain,lkuligin,,,,,49,
langchain-ai/langchain,sepiatone,United States,San Francisco,37.7749,-122.4194,43,"Cambridge, USA"
langchain-ai/langchain,ZhangShenao,China,Beijing,39.9042,116.4074,42,Beijing
langchain-ai/langchain,maang-h,,,,,41,
langchain-ai/langchain,langchain-model-profile-bot[bot],,,,,40,
langchain-ai/langchain,liugddx,,,,,36,hefei
langchain-ai/langchain,chyroc,China,Beijing,39.9042,116.4074,35,China
langchain-ai/langchain,MthwRobinson,,,,,33,
langchain-ai/langchain,vbarda,United States,New York,40.7128,-74.006,33,"New York, NY"
langchain-ai/langchain,pprados,France,Paris,48.8566,2.3522,32,Paris
langchain-ai/langchain,169,,,,,32,
langchain-ai/langchain,ShorthillsAI,India,Bangalore,12.9716,77.5946,30,India
langchain-ai/langchain,mspronesti,,,,,29,"Dublin, Ireland"
langchain-ai/langchain,hemidactylus,,,,,29,
langchain-ai/langchain,DangerousPotential,,,,,29,
langchain-ai/langchain,MateuszOssGit,,,,,28,
langchain-ai/langchain,jhpiedrahitao,,,,,27,Bogotá - Colombia
numpy/numpy,charris,United States,San Francisco,37.7749,-122.4194,7212,"Logan, Utah; USA"
numpy/numpy,mattip,,,,,2980,
numpy/numpy,seberg,,,,,2964,
numpy/numpy,teoliphant,,,,,2065,"Austin, TX"
numpy/numpy,cournape,Japan,Tokyo,35.6762,139.6503,1525,"Tokyo, Japan"
numpy/numpy,rgommers,Netherlands,Amsterdam,52.3676,4.9041,1445,Netherlands
numpy/numpy,eric-wieser,,,,,1239,"Seattle, WA"
numpy/numpy,pearu,,,,,1107,Estonia
numpy/numpy,jorenham,Netherlands,Amsterdam,52.3676,4.9041,963,"Delft, the Netherlands"
numpy/numpy,pv,,,,,817,
numpy/numpy,ngoldbaum,,,,,789,Denver
numpy/numpy,mwiebe,,,,,759,Seattle
numpy/numpy,juliantaylor,,,,,740,
numpy/numpy,stefanv,,,,,532,"Berkeley, CA"
numpy/numpy,dependabot[bot],,,,,415,
numpy/numpy,mhvk,Canada,Toronto,43.6532,-79.3832,360,"Toronto, Ontario, Canada"
numpy/numpy,njsmith,,,,,339,
numpy/numpy,r-devulap,India,Bangalore,12.9716,77.5946,325,"Hyderbad, India"
numpy/numpy,HaoZeke,,,,,317,University of Iceland
numpy/numpy,seiko2plus,,,,,307,Egypt
numpy/numpy,WarrenWeckesser,,,,,278,
numpy/numpy,DimitriPapadopoulos,France,Paris,48.8566,2.3522,267,Université Paris-Saclay
numpy/numpy,ahaldane,,,,,264,
numpy/numpy,jaimefrio,,,,,257,"Zurich, Switzerland"
numpy/numpy,bashtage,United Kingdom,London,51.5072,-0.1276,252,"London, UK"
numpy/numpy,asmeurer,,,,,250,ABQ
numpy/numpy,eric-jones,,,,,248,
numpy/numpy,rkern,,,,,243,
numpy/numpy,mtsokol,,,,,233,Poland
numpy/numpy,pierregm,France,Paris,48.8566,2.3522,199,"Paris, FR"
numpy/numpy,shoyer,United States,San Francisco,37.7749,-122.4194,196,"San Francisco, CA"
numpy/numpy,tylerjereddy,,,,,187,Northern New Mexico
numpy/numpy,rossbar,,,,,183,"Pasadena, CA"
numpy/numpy,lysnikolaou,Germany,Berlin,52.52,13.405,180,Berlin
numpy/numpy,melissawm,,,,,180,"Florianópolis, Brazil"
numpy/numpy,eendebakpt,,,,,150,
numpy/numpy,ganesh-k13,India,Bangalore,12.9716,77.5946,147,"Bangalore, India"
numpy/numpy,jarrodmillman,,,,,147,"Berkeley, California"
numpy/numpy,jayvius,,,,,127,
numpy/numpy,Qiyu8,,,,,119,ShenZhen
pandas-dev/pandas,jbrockmendel,,,,,5362,
pandas-dev/pandas,jreback,,,,,4731,
pandas-dev/pandas,wesm,,,,,3127,"Nashville, TN"
pandas-dev/pandas,jorisvandenbossche,,,,,1616,
pandas-dev/pandas,mroeschke,,,,,1522,
pandas-dev/pandas,phofl,,,,,1132,
pandas-dev/pandas,TomAugspurger,,,,,655,
pandas-dev/pandas,simonjayhawkins,United Kingdom,London,51.5072,-0.1276,628,United Kingdom
pandas-dev/pandas,cpcloud,,,,,607,
pandas-dev/pandas,rhshadrach,,,,,509,"Cincinnati, OH"
pandas-dev/pandas,tuhinsharma121,India,Bangalore,12.9716,77.5946,478,India
pandas-dev/pandas,gfyoung,,,,,460,
pandas-dev/pandas,topper-123,,,,,423,
pandas-dev/pandas,sinhrks,Japan,Tokyo,35.6762,139.6503,409,"Tokyo, Japan"
