repo,cluster,pca_x,pca_y,anomaly_label,anomaly_reason,stars,forks,contributors,commits_recent,issues_recent,prs_recent,popularity_score,activity_score,health_score,globalization_score
home-assistant/core,3,2.0487634575104967,-1.7956238695788114,normal,国际化不足,86991,37436,20,30,12,30,0.8808902581526903,0.4344150475403059,0.4377704285517431,0.3249999999999999
sveltejs/svelte,3,0.812269409979932,-1.2155538326748703,normal,高热度低活跃,86518,4906,20,30,9,30,0.8074100260264865,0.4124638280281108,0.3808937347848055,0.53
vllm-project/vllm,3,1.3368763856187282,-2.795387022975481,normal,高热度低活跃、国际化不足,79560,16623,20,30,10,30,0.8289947529561537,0.4197809011988425,0.2799452252997106,0.25
elastic/elasticsearch,3,1.961624157470557,-2.5157285444478683,normal,高热度低活跃,76671,25877,20,30,10,30,0.875336306180025,0.4197809011988425,0.3382785586330439,0.5
grafana/grafana,3,0.8979597899439555,-2.3092746489286693,normal,高热度低活跃、国际化不足,73653,13856,20,30,4,30,0.8363037305848533,0.3758784621744523,0.3314696155436131,0.275
apache/superset,3,0.6110805936418252,-3.2362335269227165,normal,高热度低活跃、国际化不足,72773,17238,20,30,1,30,0.8469221499819652,0.3539272426622571,0.2218151439988976,0.2178571428571428
pallets/flask,3,1.3803745831129275,-0.4094876498975769,normal,高热度低活跃,71508,16834,20,30,7,30,0.8517700279435796,0.3978296816866474,0.4994574204216618,0.6517857142857143
ansible/ansible,3,1.3674784495589347,-1.6737653830041406,normal,正常,68494,24160,20,30,13,30,0.8573226471518297,0.4417321207110376,0.3597920045367337,0.4125
apache/echarts,3,0.2945113341564696,-1.732543248335754,normal,高热度低活跃、国际化不足,66320,19808,20,8,24,30,0.8498870153365764,0.373067383216205,0.3620168458040512,0.125
scikit-learn/scikit-learn,2,6.022024337584598,1.2094470251125393,anomaly,多维指标偏离常规项目,66024,26997,40,60,13,60,0.861060558733589,0.7951219512195121,0.6199343339587242,0.8300000000000001
keras-team/keras,2,6.186913532951544,3.0912639200957366,anomaly,多维指标偏离常规项目,64059,19766,40,60,28,60,0.8461493289660778,0.9048780487804876,0.7416957026713124,0.8053571428571429
prometheus/prometheus,3,0.6913464558416906,-1.5760978081975936,normal,高热度低活跃,63978,10392,20,30,6,30,0.814254139034138,0.3905126085159157,0.3476281521289789,0.5
commaai/openpilot,3,0.4525844478276079,-0.7678046865048952,normal,高热度低活跃,60883,10893,20,30,2,30,0.8161727937418344,0.3612443158329889,0.4486444122915806,0.4625
pocketbase/pocketbase,3,1.5465893142512854,0.7470737639698672,normal,正常,58252,3363,20,30,29,30,0.7441167465785368,0.5588052914427449,0.4971725872285023,0.6017857142857143
ultralytics/ultralytics,3,0.7136321434724158,-1.2715300474032656,normal,正常,56958,10942,20,30,11,30,0.7745943827739437,0.4270979743695742,0.352229039046939,0.4625
appwrite/appwrite,3,0.30929737703811017,-1.7722235934354582,normal,高热度低活跃,56030,5331,20,30,5,30,0.7616921484311036,0.3831955353451839,0.3041322171696293,0.4624999999999999
vuejs/core,0,0.8492761434889884,0.6865565898233205,normal,正常,53641,9105,20,30,12,30,0.7887735896187388,0.4344150475403059,0.5711037618850765,0.55
expo/expo,3,0.6453254229307887,-1.512103929529816,normal,高热度低活跃,49351,12164,20,30,5,30,0.775930537449278,0.3831955353451839,0.345798883836296,0.575
run-llama/llama_index,3,0.6462411428990738,-1.132687209809053,normal,正常,49300,7380,20,30,12,30,0.7534073302800536,0.4344150475403059,0.3502704285517431,0.4499999999999999
pandas-dev/pandas,2,6.87654752444005,2.8274759225945494,anomaly,多维指标偏离常规项目,48710,19925,40,60,41,60,0.8150140070980829,1.0,0.6841463414634146,0.8225
hashicorp/terraform,3,0.5069611271226311,-2.1965381790112986,normal,高热度低活跃,48367,10346,20,30,1,30,0.7943017728803625,0.3539272426622571,0.2884818106655643,0.5675
prisma/prisma,3,0.862834997811072,-0.6003256270150688,normal,国际化不足,45925,2193,20,30,23,30,0.7087918407834998,0.5149028524183548,0.3772764377422698,0.3375
apache/airflow,2,5.095409309305059,0.585477701048117,normal,正常,45344,17013,40,60,5,60,0.7967897586060088,0.7365853658536585,0.5258130081300814,0.765
streamlit/streamlit,2,4.367381489034673,1.7034376575523873,normal,正常,44528,4234,40,60,10,60,0.73277237418935,0.773170731707317,0.5974593495934959,0.4714285714285714
milvus-io/milvus,3,0.44583548146737784,0.04446354903107917,normal,国际化不足,44216,3995,20,30,18,30,0.7305166059704802,0.4783174865646962,0.4668015938633962,0.125
getsentry/sentry,1,-0.14366571837491213,-1.3957104438162204,normal,高热度低活跃、国际化不足,43811,4690,20,30,1,30,0.7506467894569636,0.3539272426622571,0.3634818106655643,0.3125
apache/spark,2,4.952354347303045,-0.6420805500890265,anomaly,多维指标偏离常规项目,43249,29168,40,60,1,60,0.8312419224755668,0.7073170731707317,0.4268292682926829,0.5463235294117648
gradio-app/gradio,2,5.133403525851319,3.162702156854211,normal,正常,42543,3439,40,60,25,60,0.7111065468733655,0.8829268292682926,0.6857317073170731,0.765
ray-project/ray,2,4.1699923652186115,-0.04613542278478099,anomaly,国际化不足,42482,7537,40,60,6,60,0.7557142532309823,0.7439024390243902,0.4609756097560976,0.0875
HKUDS/nanobot,3,0.23823716889422358,-0.6126202580384336,normal,高热度低活跃、国际化不足,42137,7400,20,30,9,30,0.7352089724389598,0.4124638280281108,0.4225604014514721,0.275
pingcap/tidb,3,0.5611372679066917,-3.173591252905007,normal,高热度低活跃、国际化不足,40075,6185,20,30,1,30,0.7661902219423039,0.3539272426622571,0.2134818106655643,0.3545454545454545
facebookresearch/faiss,2,4.270123104085427,0.8496848705493022,normal,正常,39982,4372,40,60,3,60,0.7349164933637826,0.7219512195121951,0.5138211382113821,0.5589285714285714
photoprism/photoprism,3,0.626726538976581,-0.465976990648666,normal,正常,39651,2256,20,30,22,30,0.7042108657880994,0.507585779247623,0.3640176569331178,0.4125
istio/istio,3,0.5060608270281329,-1.4356458698598036,normal,国际化不足,38185,8299,20,30,14,30,0.7664407926906448,0.4490491938817693,0.3051194413275852,0.3625
duckdb/duckdb,3,0.04643941985952798,-1.3575588513500982,normal,国际化不足,38045,3220,20,30,9,30,0.7080008122428024,0.4124638280281108,0.3142270681181388,0.3170454545454545
docker/compose,3,0.48322745577906806,-0.514413992629764,normal,高热度低活跃,37365,5795,20,30,7,30,0.7467971202558371,0.3978296816866474,0.4173145632788047,0.6041666666666666
typeorm/typeorm,3,0.3722827662487294,-0.5838625869131581,normal,正常,36476,6516,20,30,12,30,0.7322226907260676,0.4344150475403059,0.3961037618850764,0.4425
jax-ml/jax,2,4.072407970113017,1.691523597997819,normal,正常,35585,3569,40,60,5,60,0.71124778965595,0.7365853658536585,0.6133130081300813,0.4384615384615385
nextcloud/server,3,0.48583335503983544,-1.469705782648309,normal,高热度低活跃,34856,4851,20,30,9,30,0.7305050354362183,0.4124638280281108,0.3308937347848055,0.4499999999999999
PostHog/posthog,3,0.37778889339180516,-1.9341289738812142,normal,正常,34384,2703,20,30,6,30,0.6794408961514997,0.3905126085159157,0.2809614854623122,0.5166666666666666
alibaba/nacos,0,0.011421733087800692,0.45699838684586164,normal,高热度低活跃、国际化不足,32931,13276,20,30,9,30,0.7688724720941462,0.4124638280281108,0.5531159570070276,0.0875
lutzroeder/netron,3,-0.3176923155098709,-0.381002494385923,normal,国际化不足,32855,3114,1,30,21,30,0.7002103691792826,0.5002687060768913,0.3336981289001752,0.3
apache/kafka,3,0.21169956178074525,-1.8494426330353493,normal,高热度低活跃,32549,15174,20,30,0,30,0.7756935814799775,0.3466101694915254,0.3116525423728813,0.53
seaweedfs/seaweedfs,1,-0.5026778413122893,-0.6193266205079805,normal,国际化不足,32184,2808,20,30,1,30,0.7067666524166095,0.3539272426622571,0.4134818106655643,0.3625
cockroachdb/cockroach,3,1.585411525744749,-0.7241715351041628,normal,正常,32141,4120,20,30,27,30,0.7237007692959435,0.5441711451012816,0.3971538973864315,0.5
numpy/numpy,2,5.521071155677131,2.9134510150435617,anomaly,多维指标偏离常规项目,31999,12348,40,60,18,60,0.7555301958682672,0.8317073170731707,0.7176490514905148,0.95
hasura/graphql-engine,3,0.5636707172458868,-1.6642715743094243,normal,正常,31969,2879,20,30,14,30,0.6956303815959887,0.4490491938817693,0.272976584184728,0.4318181818181817
qdrant/qdrant,1,-0.11431905169248457,-0.4787096423116502,normal,正常,31201,2250,20,30,8,30,0.6692142438491709,0.4051467548573791,0.3929533553810114,0.5
openai/openai-python,2,4.673661528011772,1.2170975043346635,anomaly,多维指标偏离常规项目,30732,4776,40,60,22,60,0.7107090792646513,0.8609756097560975,0.4819105691056911,0.4318181818181817
helm/helm,3,-0.14073554266793187,-2.207503491467438,normal,高热度低活跃、国际化不足,29793,7598,20,30,4,30,0.7307191630082575,0.3758784621744523,0.243969615543613,0.235
academic/awesome-datascience,0,0.2242931622512067,2.061178137899797,normal,高热度低活跃,29158,6504,20,30,5,30,0.7474875997872131,0.3831955353451839,0.7041322171696293,0.6775
alibaba/spring-cloud-alibaba,0,-0.37410187878523626,0.3564845009307782,normal,高热度低活跃、国际化不足,29106,8508,20,16,21,30,0.7474838811589383,0.4053534518396031,0.5061002677218056,0.125
dmlc/xgboost,2,5.088260912330712,3.9478613572696775,anomaly,多维指标偏离常规项目,28360,8869,40,60,20,60,0.7452043103527424,0.8463414634146341,0.7949186991869918,0.8642857142857143
chroma-core/chroma,1,-0.6131966417160106,-0.8199298360987136,normal,国际化不足,27895,2238,20,30,5,30,0.6583190202853724,0.3831955353451839,0.3791322171696293,0.0875
