repo,text_cluster,text_x,text_y,main_topic,readme_keywords,commit_type
metorial/metorial,5,-0.1880786,0.048085224,搜索与向量检索,agent;agentic-ai;agentic-workflow;container;docker;mcp;modelcontextprotocol;security,chore
langwatch/langwatch,5,0.010960161,0.27383757,搜索与向量检索,ai;analytics;datasets;dspy;evaluation;gpt;llm;llm-ops;llmops;low-code;observability;openai;prompt-engineering,test
neomjs/neo,5,-0.07375182,0.22471623,搜索与向量检索,ai-agents;application-engine;architecture;autonomous-agents;desktop-like;esm;frontend;generative-ai;javascript;mcp-servers;multi-threaded;neural-link;no-transpilation;off-main-thread;performance;react-alternative;self-healing;spa;web-workers;zero-config,chore
TableProApp/TablePro,3,-0.1502446,-0.40276495,分布式计算,appkit;database;database-client;database-gui;database-management;macos;macos-app;mongodb;mssql;mysql;mysql-client;native;postgresql;redis;sql;sql-editor;sqlite;swift;swiftui;tableplus,fix
hosseinmoein/DataFrame,4,-0.3223903,0.10727529,可视化与应用,ai;cpp;data-analysis;data-science;dataframe;financial-data-analysis;financial-engineering;large-data;machine-learning;multidimensional-data;numerical-analysis;statistical;statistical-analysis;tensor;tensorboard;trading-algorithms;trading-strategies,chore
av/harbor,5,0.058198407,-0.017136576,搜索与向量检索,ai;automation;bash;cli;container;docker;docker-compose;homelab;llm;local;mcp;npm;package;pypi;safetensors;self-hosted;server;tool;tools,fix
patrick-kidger/equinox,0,-0.33836538,0.024460755,深度学习框架,deep-learning;equinox;jax;neural-networks,chore
ZSeven-W/openpencil,2,0.048390035,0.19668153,大模型应用,agent;agent-team;ai;claude;claude-code;codex;fimga;flutter;html;mcp;opencode;openpencil;pencil;react;react-native;svelte;ui;vibecoding;vibedesign;vue,fix
superplanehq/superplane,1,0.062697366,-0.07208994,数据科学工具,automation;control-plane;devops;event-driven;go;kubernetes;platform-engineering;python;react;release-automation;self-hosted;workflow-automation,feat
schultek/jaspr,2,0.31321713,-0.1802647,大模型应用,dart;dart-web;flutter;jaspr;web;web-framework,chore
kubenav/kubenav,1,0.15192156,-0.15500799,数据科学工具,android;app;dashboard;flutter;go;ios;kubectl;kubernetes;mobile,chore
apioo/fusio,5,-0.23512265,-0.08192103,搜索与向量检索,ai;ai-agents;api;api-gateway;api-management;api-manager;backend;javascript;mcp-server;microservice;openapi;php;rest,chore
openhab/openhab-addons,1,0.37287286,-0.040441062,数据科学工具,add-ons;java;openhab,chore
KudoAI/chatgpt.js,2,0.16163535,0.20044366,大模型应用,ai;artificial-intelligence;bot;chat;chatbot;chatgpt;clientside;conversational-ai;conversational-bots;frontend;gpt;gpt-5;javascript;kudoai;library;machine-learning;ml;nlp;openai,chore
ezshine/AwesomeSites,1,0.14527343,-0.16607063,数据科学工具,awesomesite;awesomesites;frontend;html;javascript;website,chore
Nano-Collective/nanocoder,5,-0.23590769,0.12861873,搜索与向量检索,ai;ai-agents;ai-coding;coding-agents;llm;llm-inference;ollama;openai;openrouter,chore
NeptuneHub/AudioMuse-AI,5,-0.043507945,-0.008383497,搜索与向量检索,clap;docker;emby;jellyfin;jellyfin-plugin;k3s;kubernetes;librosa;llm;lyrion;music;navidrome;ollama;onnx;open-source;open-source-project;playlist;self-hosted;smart-playlists;sonic-analysis,chore
userfrosting/UserFrosting,1,0.22626208,-0.13282645,数据科学工具,login;login-system;php;user-management;userfrosting;users;web-framework,chore
apache/solr,0,-0.39148825,-0.1844013,深度学习框架,backend;information-retrieval;java;lucene;nosql;search;search-engine;solr,chore
EnzymeAD/Enzyme,4,-0.34654024,0.27126107,可视化与应用,ad;automatic-differentiation;c;clang;compiler;cpp;deep-learning;derivative;differentiable-programming;enzyme;gradient;high-performance;llvm;llvm-enzyme;machine-learning;pytorch;rust;scientific-computing;simulation;tensorflow,chore
TailGrids/tailgrids,2,-0.00720194,-0.1903293,大模型应用,component-library;components;design-system;frontend;icons;nextjs-ui-components;react;react-components;react-tailwindcss;react-templates;react-ui-library;tailwind;tailwind-css;tailwind-ui;tailwindcss;ui-components;ui-kit;ui-library,chore
mkubaczyk/helmsman,1,0.06988835,-0.1795649,数据科学工具,git-ops;helm;helm-charts;helm-charts-as-code;helmsman;k8s;k8s-applications;k8s-cluster;kubernetes;protect-namespaces,chore
serversideup/spin,1,0.2538497,-0.27793142,数据科学工具,development-environment;devops;docker;docker-compose;docker-swarm;laravel;nodejs,chore
kimdre/doco-cd,1,0.43247116,-0.11330443,数据科学工具,continuous-delivery;continuous-deployment;devops;docker;docker-compose;docker-swarm;doco-cd;gitops;swarm-mode;webhook,docs
kube-green/kube-green,1,0.32434636,-0.12731868,数据科学工具,climate-change;cloud-native;downscale;green-software;hacktoberfest;k8s;kubernetes;resources,chore
jsxgraph/jsxgraph,0,-0.16766886,-0.14532109,深度学习框架,charting;data-visualization;geometry;javascript;jsxgraph;mathematics,chore
t8y2/dbx,3,-0.29427987,-0.3242934,分布式计算,;database;database-client;database-management;duckdb;gui;mongodb;mysql;postgresql;redis;rust;sql-server;sqlite;tauri;vue,feat
yjl9903/AnimeGarden,1,0.35006946,0.12193636,数据科学工具,agent;animation;anime;anime-tracker;animegarden;animelist;animespace;anitomy;bangumi;dmhy;openapi;scraper;skills;torrent,chore
ppy/osu-web,1,0.2683019,-0.09215198,数据科学工具,backend;frontend;hacktoberfest;laravel;osu;web,chore
OSGeo/grass,4,-0.2223844,0.118143685,可视化与应用,arrays;data-science;earth-observation;geospatial;geospatial-analysis;gis;grass-gis;hacktoberfest;image-processing;jupyter;machine-learning;open-science;parallel-computing;python;raster;remote-sensing;science;spatial;timeseries-analysis;vector,chore
rzru/nightingale,5,-0.106315546,0.16561626,搜索与向量检索,ai;bevy-engine;demucs;karaoke;karaoke-application;karaoke-game;machine-learning;machine-learning-algorithms;ml;party;react;rust;shadcn;tailwind;tauri;tauri-app;whisper;whisper-ai;whisperx,feat
apache/ofbiz-framework,0,-0.32360557,-0.332539,深度学习框架,content;database;geospatial;groovy;hacktoberfest;https;java;javascript;network-server;ofbiz;plugins;web-framework;xml,fix
EhTagTranslation/Database,1,0.39231542,0.09808148,数据科学工具,database;e-hentai;translation,chore
howie6879/weekly,1,0.32533455,-0.025335375,数据科学工具,awesome;backend;front-end;github;rss;weekly,chore
xiaoiver/infinite-canvas-tutorial,1,0.30302808,0.05918559,数据科学工具,chatcanvas;ecs;frontend;infinite-canvas;rendering-2d-graphics;rendering-engine;tutorial;visualization;webgl;webgpu,chore
SemiAnalysisAI/InferenceX,4,-0.33165056,0.2810976,可视化与应用,ai;amd;benchmark;cuda;gb200;llm;nvidia;pytorch;rocm;sglang;vllm,chore
yegor256/takes,0,-0.10294161,-0.14401692,深度学习框架,http;http-server;java;java-framework;oop;web-framework;xml-xslt,chore
ArcadeData/arcadedb,3,-0.2652348,-0.24787605,分布式计算,arcadedb;database;dbms;distributed;docker;document;embedded;graph;k8s;key-value;kubernetes;multi-model;orientdb;search-engine;similarity-search;time-series;vector-database;vector-search,chore
ENTERPILOT/GoModel,5,-0.048638016,0.061118916,搜索与向量检索,ai;ai-gateway;ai-proxy;anthropic;go;golang;groq;litellm-alternative;llm;llm-gateway;observability;ollama;openai;openai-compatible;openai-compatible-api;openai-compatible-proxy-server;proxy,feat
bjw-s-labs/home-ops,1,0.30985245,0.007349904,数据科学工具,flux;gitops;iac;k8s-at-home;kubernetes;renovate,fix
bgauryy/octocode-mcp,5,-0.20483223,0.2858652,搜索与向量检索,agent;ai;ai-agents;ai-tools;claude-ai;code-intelligence;code-search;context;cursor;cursor-ai;development;github;github-api;llm;mcp;model-context-protocol;modelcontextprotocol;octocode;semantic-search;vibe-coding,chore
superiorlu/AITreasureBox,5,0.0048168837,0.33473516,搜索与向量检索,agi;ai;ai-gents;ai-prompts;ai-tools;alpaca;awesome-list;deep-learning;deepseek;gpt;llama;llm;machine-learning;mcp;openai,chore
openyak/openyak,5,0.04551062,0.31700698,搜索与向量检索,agent;agentic-ai;ai-agent;ai-coding-assistant;byok;chatgpt-alternative;claude-code;claude-code-alternative;codex;codex-alternative;coding-agent;copilot-alternative;cursor-alternative;desktop-application;local-llm;mcp;ollama;open-source;openrouter;self-hosted,fix
rcarmo/piclaw,5,-0.15772288,-0.046876065,搜索与向量检索,adaptive-cards;ai-agent;bun;coding-agent;docker;llm;pi-agent;self-hosted;typescript;vnc;web-ui;workspace,fix
adriannovegil/awesome-observability,1,-0.15695553,-0.1361624,数据科学工具,awesome;awesome-list;observability,chore
flamego/flamego,1,0.25727654,-0.057624143,数据科学工具,dependency-injection;flamego;go;web-framework,chore
kviklet/kviklet,3,-0.1565911,-0.287223,分布式计算,cyber-security;cybersecurity;database;database-access;devops;kubernetes;mssql;mysql;pam;postgresql;sql-server,chore
suyoumo/ClawProBench,5,0.112398535,0.21165936,搜索与向量检索,agent;benchmark;evaluation;harness;leaderboard;llm;openclaw,chore
GeminiLight/MindOS,5,0.07927429,0.20786686,搜索与向量检索,agent;context;knowledge-base;mcp;memory;skill,fix
kurtosis-tech/kurtosis,1,0.04153444,-0.1952175,数据科学工具,backend;cicd;containerization;deploy;devops;distributed-systems;docker;docker-compose;environment;go;infrastructure;kubernetes;networks;prototyping,fix
mx-space/core,3,0.15103084,-0.08251883,分布式计算,ai;ai-cms;ai-summary;ai-translation;blog-cms;content-workflow;creator-tools;headless-cms;llm;mongodb;nestjs;personal-blog;redis;self-hosted;typescript,chore
henrydaum/second-brain,5,-0.3060283,0.15111418,搜索与向量检索,agentic-ai;agentic-workflow;ai;ai-agent-tools;ai-agents;cronjob-scheduler;data-science;database;llms;multimodal;open-source;orchestrator;python;python3;rag;tool-use;workflow-automation,chore
flaviuse/mern-authentication,1,0.12956023,-0.2636205,数据科学工具,authentication;backend;boilerplate;docker;docker-compose;email-verification;express;frontend;mern-auth;mern-authentication;mongodb;nginx;node;nodejs;passportjs;react;redux;reset-password;template;typescript,chore
D-Sketon/hexo-theme-reimu,2,0.43678316,0.08190744,大模型应用,aplayer;beaudar;blog;disqus;frontend;giscus;gitalk;hexo;hexo-theme;javascript;pjax;reimu;touhou;twikoo;utterances;valine;waline,fix
FrancescoXX/rustcrab,2,-0.118706085,-0.103745185,大模型应用,ai;backend;devtools;frontend;hacktoberfest;nextjs;opensource;react;rust;rust-lang;rustlang;tailwindcss;typescript;webdevelopment,chore
violit-dev/violit,0,-0.16765752,0.023165926,深度学习框架,ai;data-application;data-science;data-visualization;deep-learning;developer-tools;fastapi;framework;frontend;fullstack;gui;machine-learning;mvp;python;python-web-development;reactive;streamlit-alternative;ui;webapp;website,feat
cyhhao/vibe-remote,5,0.2018167,0.28199625,搜索与向量检索,agent;ai;ai-agents;chatops;claude;claude-code;codex;devtools;discord-bot;lark-bot;llm;opencode;slack-bot;vibe-coding;wechat,chore
aree6/LiftShift,1,-0.014156978,0.035191443,数据科学工具,analytics;dashboard;data-visualization;fitness;gym;gym-website;hevy;logs;lyfta;strong;workout;workout-app;workout-tracker;workoutlogging,chore
ILoveBingLu/CipherTalk,2,0.3708789,0.07351036,大模型应用,annual-report;data-analysis;data-visualization;message;weixin,chore
buroa/k8s-gitops,1,0.25864068,-0.034103815,数据科学工具,devops;flux;gitops;home-operations;homelab;iac;k8s;k8s-at-home;kubernetes;kubesearch;minisforum;renovate;selfhosted;talos,chore
vellum-ai/vellum-assistant,5,0.24442796,0.274473,搜索与向量检索,ai-assistant;anthropic;llm;macos;open-source;openai;personal-ai;slack-bot;telegram-bot;typescript,feat
alexandre-daubois/ember,1,0.12430748,-0.04090399,数据科学工具,caddy;frankenphp;golang;monitoring;observability;php,chore
netbox-community/netbox-chart,1,0.25098577,0.00918805,数据科学工具,dcim;helm;ipam;kubernetes;netbox,chore
thomwebb/gac,1,0.2339801,0.18663484,数据科学工具,ai;aitools;genai;generative-ai;generative-ai-tools;git;gittools;llm;llmtools;vibe-coding;vibecoding,test
MIERUNE/svelte-maplibre-gl,2,0.12292124,-0.009042282,大模型应用,data-visualization;map;maplibre;maps;svelte;svelte-components;visualization,chore
Linuxfabrik/monitoring-plugins,1,0.028422745,-0.024733732,数据科学工具,alerting;check-plugins;debian;icinga;icinga-director;icinga-plugins;icinga2;infrastructure-monitoring;linux;linuxfabrik;monitoring;monitoring-plugins;nagios;nagios-plugins;observability;python;rhel;sysadmin;ubuntu;windows,feat
iopsystems/rezolus,5,-0.31967276,-0.10499938,搜索与向量检索,ebpf;hardware;infrastructure;kernel;observability;otel;telemetry,chore
Fu-Jie/openwebui-extensions,5,0.09489902,-0.0068358527,搜索与向量检索,agent;agentic;context-engineering;copilot-sdk;da;data-analysis;data-visualization;excel;infographic;mcp;memory;mindmap;open-webui;openwebui;openwebui-filter;openwebui-pipe;openwebui-tool;skill;word,chore
